スタイル概要,Sunoスタイル
朝の神社さわやか,"fresh j-pop, kawaii, bright female vocal, wagakki, shamisen, koto, light taiko, japanese traditional, morning shrine, clean, airy, uplifting, heartwarming, sweet, catchy chorus, no intro, no outro"
ほっこり日常和風,"soft j-pop, kawaii, gentle female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, cozy daily life, warm, heartwarming, playful, tender, relaxing, clean mix, no intro, no outro"
可愛いコミカル和風,"comedic j-pop, kawaii, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, playful, quirky, bouncy, catchy hook, lighthearted, sparkling, clean mix, no intro, no outro"
切なかわいい和風,"bittersweet j-pop, kawaii, tender female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, sweet but wistful, romantic, emotional, dreamy, clean mix, no intro, no outro"
癒し系和風ヒーリングポップ,"healing j-pop, gentle female vocal, soothing voice, wagakki, shamisen, koto, soft taiko, japanese traditional, calm, warm, relaxing, peaceful, dreamy, heartwarming, clean mix, no intro, no outro"
ゲーム主題歌風和風,"game theme song, j-pop, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fantasy, catchy chorus, adventurous, sparkling, emotional, vibrant, clean mix, no intro, no outro"
脱出ゲームED風和風,"soft game ending theme, j-pop, gentle female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, nostalgic, heartwarming, tender, peaceful, melodic, clean mix, no intro, no outro"
ショート動画向けフック重視,"short form j-pop, kawaii, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, instant hook, catchy chorus, repeated syllables, upbeat, sparkling, clean mix, no intro, no outro"
海外向け和風ポップ,"j-pop, kawaii, japanese traditional fusion, cute female vocal, wagakki, shamisen, koto, taiko, catchy chorus, global pop feel, sweet, sparkling, vibrant, clean modern mix, no intro, no outro"
和風ラブコメOP,"romantic comedy anime opening, j-pop, kawaii, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, playful, bashful, sparkling, upbeat, catchy chorus, clean mix, no intro, no outro"
和風ラブコメED,"romantic comedy anime ending, soft j-pop, sweet female vocal, wagakki, shamisen, koto, soft taiko, japanese traditional, tender, bashful, cozy, romantic, heartwarming, clean mix, no intro, no outro"
和風ミュージカル調,"musical j-pop, expressive female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, theatrical but cute, playful, romantic, catchy chorus, vibrant, clean mix, no intro, no outro"
和風ロックポップ,"pop rock, j-pop, cute female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, energetic drums, bright guitars, catchy chorus, vibrant, clean mix, no intro, no outro"
和風スカポップ,"ska pop, j-pop, cheerful female vocal, wagakki, shamisen, koto, taiko, japanese traditional fusion, bouncy rhythm, playful, festive, catchy chorus, upbeat, clean mix, no intro, no outro"
和風チルダンス,"chill dance j-pop, soft cute female vocal, wagakki, shamisen, koto, light taiko, japanese traditional fusion, mellow groove, sweet, sparkling, cozy, catchy hook, clean mix, no intro, no outro"
